date,department,revenue,costs,profit_margin,employees_hired,employees_attrition,employee_performance,product_category,market_segment,sales_volume,customer_churn_probability,retention_rate,daily_efficiency,operational_cost,profit
2022-01-01 00:00:00,Marketing,40844.43440871048,7136.174116252586,37.28918500954693,4,2,77.83331011414364,Product C,Consumer,187,0.13348344445560875,74.00027090181435,84.52665418846559,1789.7621063794036,33708.26029245789
2022-01-02 00:00:00,R&D,42459.91883601898,7945.495098991732,16.36387385224852,4,0,72.1696897183815,Product E,Government,956,0.11649165607921677,87.13188105222662,69.18481581956125,5090.025079493054,34514.423737027246
2022-01-03 00:00:00,R&D,15474.71031936369,4536.980166918982,31.643510326658056,3,2,99.32923543227153,Product A,Consumer,584,0.24301794076057537,74.77467546324417,66.95154778955839,14284.397521546665,10937.730152444708
2022-01-04 00:00:00,Customer Service,30347.96980304927,12791.662071117651,10.558818827707498,1,2,87.33054075301833,Product D,Enterprise,875,0.013755408446087358,95.4609712582059,72.76339944800051,10275.311980955748,17556.307731931618
2022-01-05 00:00:00,HR,24132.014352106013,7822.366560309287,29.869511473699703,4,2,93.69139098379995,Product D,SMB,301,0.35793094017105953,86.74119940671038,92.6562270506935,2238.8950287268726,16309.647791796726
2022-01-06 00:00:00,Marketing,28437.541701162067,28912.816681781776,39.558684703735295,4,1,81.58768529556319,Product B,Enterprise,863,0.24281369907467387,77.72797709663121,73.88820517112248,3313.7371468820347,-475.2749806197098
2022-01-07 00:00:00,Finance,49409.91214702328,23622.85354030641,16.955048853696034,2,2,88.27429375390469,Product C,Consumer,388,0.24238398991240456,95.93642459837378,84.53231076505833,13809.43545761293,25787.05860671687
2022-01-08 00:00:00,Finance,33048.41570724011,11265.144695874178,12.224542260010827,4,2,83.65191150830908,Product C,Consumer,838,0.04783769837532068,89.97085404224386,87.82355145850693,8857.880765972946,21783.271011365927
2022-01-09 00:00:00,Marketing,16523.07452425958,3132.1405070760775,34.87320113900256,1,1,77.5734600746308,Product C,Consumer,963,0.25456416450551217,78.80196747013714,80.25712073494108,13705.930634965302,13390.934017183503
2022-01-10 00:00:00,Marketing,32198.782067501776,17115.550556446848,17.10714286571693,4,2,71.59005811655072,Product D,SMB,781,0.3232481518257668,87.73530518229185,91.14381770563153,12251.409076587603,15083.231511054928
2022-01-11 00:00:00,Customer Service,23742.94765416648,26731.84724972831,21.352075735184588,3,0,72.72013899887456,Product A,Enterprise,476,0.25907604821654495,70.01457055586884,75.57706569002507,5266.9376142124065,-2988.89959556183
2022-01-12 00:00:00,IT,27983.62861599046,13687.508088165812,17.77377336647556,2,1,73.50460685614512,Product C,SMB,771,0.20751624869734644,89.68453084906498,75.90888807137881,14604.94915809345,14296.120527824647
